ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_fd v_fs c_fg v_d1 
2.03495 12.3434 1157.44 0 0 0 
3.30962 12.3478 1190.08 0 0 0 
4.61847 12.3379 1177.4 0 0 0 
5.93857 12.3356 1151.91 0 0 0 
7.24982 12.3393 1138.85 0 0 0 
8.54391 12.3288 1144.08 0 0 0 
9.83766 12.3522 1158.5 0 0 0 
11.1326 12.3456 1163.83 0 0 0 
12.4462 12.3429 1147.89 0 0 0 
13.7515 12.342 1143.96 0 0 0 
15.0201 12.3463 1187.2 0 0 0 
16.3611 12.3088 1126.18 0 0 0 
17.6307 12.3089 1171.41 0 0 0 
18.9165 12.3055 1215.37 0 0 0 
0.745725 13.6579 1147.52 0 0 0 
2.04749 13.6501 1145.16 0 0 0 
3.3339 13.6221 1155 0 0 0 
4.63234 13.6474 1164.24 0 0 0 
5.94026 13.6379 1152.2 0 0 0 
7.22707 13.6212 1163.35 0 0 0 
8.54615 13.6216 1140.68 0 0 0 
9.83469 13.6352 1161.02 0 0 0 
11.145 13.6367 1151.71 0 0 0 
12.4542 13.6362 1144.72 0 0 0 
13.7435 13.6198 1151.48 0 0 0 
15.0268 13.6358 1187.95 0 0 0 
16.3106 13.617 1198.95 0 0 0 
17.6421 13.6033 1182.93 0 0 0 
18.8972 13.5737 1203.62 0 0 0 
0.742846 14.9316 1145.74 0 0 0 
2.04849 14.955 1149.14 0 0 0 
3.35383 14.9388 1137.53 0 0 0 
4.61778 14.9182 1173.85 0 0 0 
5.93565 14.9433 1163.5 0 0 0 
7.25216 14.9397 1144.21 0 0 0 
8.55619 14.9269 1135.16 0 0 0 
9.8379 14.9253 1157.54 0 0 0 
11.1384 14.9407 1170.2 0 0 0 
12.4614 14.9268 1142.27 0 0 0 
13.7473 14.9067 1148.32 0 0 0 
15.0467 14.8951 1148.5 0 0 0 
16.3354 14.9072 1185.14 0 0 0 
17.6273 14.9091 1216.96 0 0 0 
18.9167 14.9188 1266.95 0 0 0 
0.744989 16.244 1150.35 0 0 0 
